File created on 2022-02-16 17:44:48 UT
2022 Starlink Space Weather Event - IMF mesurements by DSCOVR Satellite.

year mo dy hr min sec msec bx by bz vx vy vz dens temp
#START
 2022 02 01 00 00 00 000   -1.16   5.84   0.77  -456.70	  59.10	  24.70	   6.44	    141205.0
 2022 02 01 00 01 00 000   -0.74   5.88   1.12  -459.20	  71.90	  12.10	   6.55	    136146.0
 2022 02 01 00 02 00 000   -1.10   5.80   0.33  -458.10	  68.70	  14.20	   6.56	    139942.0
 2022 02 01 00 03 00 000   -2.47   4.93   2.06  -453.60	  55.30	  24.00	   6.35	    152317.0
 2022 02 01 00 04 00 000   -2.83   3.77   3.18  -451.40	  57.20	  21.10	   6.39	    162456.0
 2022 02 01 00 05 00 000   -2.93   4.04   3.18  -452.20	  47.10	  27.30	   6.30	    158874.0
 2022 02 01 00 06 00 000   -2.72   4.52   2.77  -452.70	  47.70	  26.60	   6.34	    157300.0
 2022 02 01 00 07 00 000   -2.73   4.94   1.64  -452.90	  48.40	  32.70	   6.19	    155328.0
 2022 02 01 00 08 00 000   -2.82   5.05   1.09  -453.20	  53.60	  29.40	   6.25	    155154.0
 2022 02 01 00 09 00 000   -2.94   5.10   1.15  -453.30	  51.10	  31.80	   6.17	    158849.0
 2022 02 01 00 10 00 000   -3.38   4.83   0.74  -452.00	  47.90	  34.70	   6.22	    162363.0
 2022 02 01 00 11 00 000   -3.95   4.40   1.11  -441.20	  50.90	  30.30	   6.84	    250005.0
 2022 02 01 00 12 00 000   -4.04   4.06   1.76  -439.90	  52.30	  22.20	   6.66	    247279.0
 2022 02 01 00 13 00 000   -4.16   3.47   2.43  -440.50	  53.10	   6.00	   6.82	    262750.0
 2022 02 01 00 14 00 000   -4.28   2.88   2.96  -439.40	  60.70	  11.70	   6.82	    272887.0
 2022 02 01 00 15 00 000   -3.60   3.23   3.61  -446.90	  55.70	  25.90	   6.46	    214775.0
 2022 02 01 00 16 00 000   -3.37   4.35   2.79  -453.50	  48.30	  28.50	   6.40	    160019.0
 2022 02 01 00 17 00 000   -3.31   4.40   2.85  -453.60	  49.90	  31.70	   6.25	    161801.0
 2022 02 01 00 18 00 000   -3.06   5.04   1.68  -454.10	  47.80	  37.70	   6.32	    156070.0
 2022 02 01 00 19 00 000   -2.66   5.19   1.12  -453.80	  48.60	  36.60	   6.54	    155590.0
 2022 02 01 00 20 00 000   -3.09   4.98   1.06  -452.40	  49.70	  35.40	   6.38	    165209.0
 2022 02 01 00 21 00 000   -3.32   4.74   1.36  -448.30	  47.40	  33.60	   6.63	    196438.0
 2022 02 01 00 22 00 000   -2.38   5.53   0.70  -453.90	  50.60	  37.10	   6.47	    152695.0
 2022 02 01 00 23 00 000   -2.81   5.34   0.41  -452.90	  51.70	  35.40	   6.47	    155259.0
 2022 02 01 00 24 00 000   -2.80   5.30   0.91  -453.60	  54.90	  33.30	   6.38	    151726.0
 2022 02 01 00 25 00 000   -2.66   5.30   0.57  -452.80	  49.20	  35.00	   6.32	    157111.0
 2022 02 01 00 26 00 000   -2.52   5.27  -1.10  -452.80	  51.50	  42.90	   6.35	    152327.0
 2022 02 01 00 27 00 000   -2.51   5.54  -0.86  -453.50	  56.60	  36.20	   6.33	    149939.0
 2022 02 01 00 28 00 000   -2.93   5.04  -0.99  -441.60	  48.90	  44.20	   7.29	    237789.0
 2022 02 01 00 29 00 000   -3.09   4.54  -1.81  -440.30	  46.30	  47.60	   7.37	    241776.0
 2022 02 01 00 30 00 000   -3.13   4.26  -1.86  -439.50	  43.80	  46.10	   7.61	    242920.0
 2022 02 01 00 31 00 000   -1.24   5.83  -1.15  -457.60	  53.30	  37.60	   6.79	    136052.0
